year,region,gdp_billions_usd,gdp_growth_percent,inflation_rate,unemployment_rate,energy_expenditure_percent_gdp,energy_price_index,manufacturing_output_index,construction_activity_index,consumer_confidence_index,government_debt_percent_gdp,tax_revenue_billions_usd
2020,North America,22000,-3.5,1.2,8.1,6.2,100.0,100.0,100.0,100.0,108.5,4200
2020,Europe,19000,-6.2,0.3,7.4,5.8,98.5,95.2,92.1,88.5,95.2,3800
2020,Asia Pacific,28000,1.8,2.1,4.8,7.1,102.3,105.6,108.9,92.3,85.6,5600
2021,North America,22500,5.2,4.7,5.4,6.8,115.2,108.9,112.4,105.6,112.8,4500
2021,Europe,19500,2.6,2.8,6.8,6.2,118.7,102.1,105.8,98.7,98.5,3900
2021,Asia Pacific,29500,5.4,3.2,4.2,7.5,125.4,112.3,118.7,104.5,88.9,5900
2022,North America,23000,2.2,8.0,3.6,7.5,142.8,112.5,118.9,108.9,115.2,4800
2022,Europe,19800,1.5,8.1,6.2,7.1,145.2,105.8,108.9,102.3,101.8,4000
2022,Asia Pacific,31000,5.1,4.8,3.8,8.2,138.9,118.7,125.4,108.7,92.3,6200
2023,North America,23500,2.2,4.1,3.5,6.9,135.6,115.8,122.4,112.5,118.5,5100
2023,Europe,20100,1.5,5.2,5.8,6.8,138.2,108.9,112.5,105.8,104.5,4100
2023,Asia Pacific,32500,4.8,3.5,3.5,7.8,132.1,125.4,132.1,115.6,94.8,6500
2024,North America,24000,2.1,3.2,3.2,6.5,128.9,118.7,125.8,115.8,121.8,5400
2024,Europe,20400,1.5,3.8,5.2,6.5,131.5,112.1,115.8,108.9,107.2,4200
2024,Asia Pacific,34000,4.6,2.8,3.2,7.4,125.8,132.1,138.9,122.4,97.3,6800
2025,North America,24500,2.1,2.8,3.0,6.2,122.4,121.8,129.2,118.7,125.1,5700
2025,Europe,20700,1.5,2.5,4.8,6.2,125.1,115.4,119.1,111.5,109.9,4300
2025,Asia Pacific,35500,4.4,2.2,3.0,7.0,119.7,138.9,145.6,129.2,99.8,7100
2026,North America,25000,2.0,2.5,2.8,5.9,116.2,124.9,132.6,121.6,128.4,6000
2026,Europe,21000,1.4,2.2,4.5,5.9,118.9,118.7,122.4,114.1,112.6,4400
2026,Asia Pacific,37000,4.2,2.0,2.8,6.6,113.8,145.6,152.3,135.8,102.3,7400
2027,North America,25500,2.0,2.2,2.6,5.6,110.4,128.0,136.0,124.5,131.7,6300
2027,Europe,21300,1.4,2.0,4.2,5.6,112.9,122.0,125.7,116.7,115.3,4500
2027,Asia Pacific,38500,4.1,1.8,2.6,6.2,108.1,152.3,159.0,142.4,104.8,7700
2028,North America,26000,2.0,2.0,2.4,5.3,104.9,131.1,139.4,127.4,135.0,6600
2028,Europe,21600,1.4,1.8,4.0,5.3,107.1,125.3,129.0,119.3,118.0,4600
2028,Asia Pacific,40000,3.9,1.6,2.4,5.8,102.7,159.0,165.7,149.0,107.3,8000
2029,North America,26500,1.9,1.8,2.2,5.0,99.6,134.2,142.8,130.3,138.3,6900
2029,Europe,21900,1.4,1.6,3.8,5.0,101.5,128.6,132.3,121.9,120.7,4700
2029,Asia Pacific,41500,3.8,1.4,2.2,5.4,97.5,165.7,172.4,155.6,109.8,8300
2030,North America,27000,1.9,1.6,2.0,4.7,94.6,137.3,146.2,133.2,141.6,7200
2030,Europe,22200,1.4,1.4,3.6,4.7,96.1,131.9,135.6,124.5,123.4,4800
2030,Asia Pacific,43000,3.6,1.2,2.0,5.0,92.5,172.4,179.1,162.2,112.3,8600 
