policy_id,region,year,health_benefits_per_capita_usd,air_quality_improvement_percent,premature_deaths_averted,work_days_saved,energy_poverty_reduction_percent,income_equity_impact,public_acceptance_percent,political_support_percent,stakeholder_opposition_percent,implementation_barriers,co_benefits_score,health_costs_millions_usd,population_millions,life_expectancy,education_index,income_index
P001,North America,2020,45,12.5,8500,125000,2.1,0.1,65,58,35,"Industry resistance, Public concern about costs",7.2,0,0,0,0,0
P001,Europe,2020,52,15.2,6200,98000,2.8,0.2,72,68,28,"Industry resistance, Regional coordination",7.8,0,0,0,0,0
P001,Asia Pacific,2020,38,18.8,15200,185000,1.8,-0.1,58,52,42,"Industry resistance, Economic competitiveness",6.5,0,0,0,0,0
P002,North America,2020,38,10.2,6800,95000,3.2,0.3,78,75,22,"Grid integration, Land use conflicts",8.1,0,0,0,0,0
P002,Europe,2020,42,12.8,5200,82000,3.8,0.4,82,79,18,"Grid integration, Aesthetic concerns",8.5,0,0,0,0,0
P002,Asia Pacific,2020,32,15.5,12800,156000,2.8,0.2,68,62,32,"Grid integration, Land acquisition",7.2,0,0,0,0,0
P003,North America,2020,28,8.5,5200,78000,1.5,0.2,82,68,32,"Charging infrastructure, Battery disposal",7.8,0,0,0,0,0
P003,Europe,2020,32,10.2,4200,65000,1.8,0.3,85,72,28,"Charging infrastructure, Grid capacity",8.2,0,0,0,0,0
P003,Asia Pacific,2020,25,12.8,9800,118000,1.2,0.1,72,58,42,"Charging infrastructure, Affordability",6.8,0,0,0,0,0
P004,North America,2020,42,14.2,7500,112000,4.2,0.4,88,85,12,"Upfront costs, Technical expertise",8.8,0,0,0,0,0
P004,Europe,2020,48,16.8,5800,92000,4.8,0.5,92,89,8,"Upfront costs, Building codes",9.1,0,0,0,0,0
P004,Asia Pacific,2020,35,20.5,14200,172000,3.5,0.3,78,72,22,"Upfront costs, Enforcement capacity",7.5,0,0,0,0,0
P005,North America,2020,35,11.8,6200,93000,3.8,0.3,75,68,25,"Construction costs, Design flexibility",7.9,0,0,0,0,0
P005,Europe,2020,40,14.2,4800,76000,4.2,0.4,78,72,22,"Construction costs, Heritage preservation",8.3,0,0,0,0,0
P005,Asia Pacific,2020,28,17.5,11800,142000,3.2,0.2,68,58,32,"Construction costs, Informal settlements",6.9,0,0,0,0,0
P006,North America,2020,52,16.8,9200,138000,5.2,0.6,88,82,18,"Infrastructure costs, Land acquisition",8.9,0,0,0,0,0
P006,Europe,2020,58,19.5,7200,114000,5.8,0.7,92,87,13,"Infrastructure costs, Urban planning",9.3,0,0,0,0,0
P006,Asia Pacific,2020,42,23.2,16800,202000,4.5,0.4,78,68,28,"Infrastructure costs, Informal transport",7.6,0,0,0,0,0
P007,North America,2020,48,13.5,8500,128000,4.8,0.5,82,78,22,"Technology adoption, Workforce training",8.4,0,0,0,0,0
P007,Europe,2020,54,16.2,6600,104000,5.2,0.6,85,81,19,"Technology adoption, International competition",8.8,0,0,0,0,0
P007,Asia Pacific,2020,38,19.8,15800,192000,4.2,0.3,72,65,28,"Technology adoption, Financial constraints",7.1,0,0,0,0,0
P008,North America,2020,25,8.2,4200,63000,1.2,0.1,92,88,8,"Land rights, Economic alternatives",8.2,0,0,0,0,0
P008,Europe,2020,28,9.8,3200,51000,1.5,0.2,95,91,5,"Land rights, Agricultural interests",8.6,0,0,0,0,0
P008,Asia Pacific,2020,22,12.5,7800,95000,0.8,0.0,88,82,12,"Land rights, Development pressure",7.8,0,0,0,0,0
